"size","decay","mse"
4,0.88,0.521935349212838
5,0.88,0.52186651235723
6,0.88,0.521825193682941
7,0.88,0.521797466527315
4,0.89,0.521940761659552
5,0.89,0.521869865238795
6,0.89,0.521827018453043
7,0.89,0.521797861556977
4,0.9,0.521947171255741
5,0.9,0.521876397448558
6,0.9,0.521829007931225
7,0.9,0.52179840173069
4,0.91,0.521953567530937
5,0.91,0.521879979992994
6,0.91,0.521830966035751
7,0.91,0.521801468126087
4,0.92,0.521959435823479
5,0.92,0.521882830225785
6,0.92,0.521834094318527
7,0.92,0.521802913775285
4,0.93,0.521966016761879
5,0.93,0.521885934030128
6,0.93,0.521836332387441
7,0.93,0.52180269564989
4,0.94,0.521973281570071
5,0.94,0.521891527992432
6,0.94,0.521837572824788
7,0.94,0.521802961461803
4,0.95,0.521981020914107
5,0.95,0.521897808516936
6,0.95,0.521842251196198
7,0.95,0.521804545357901
4,0.96,0.521988223304616
5,0.96,0.52190117142626
6,0.96,0.521843919518094
7,0.96,0.521806238784948
4,0.97,0.52199477969124
5,0.97,0.521906358525516
6,0.97,0.521847211753602
7,0.97,0.521808004734554
4,0.98,0.522001625054747
5,0.98,0.52191143238133
6,0.98,0.521849486347243
7,0.98,0.521809811636743
4,0.99,0.522009640396761
5,0.99,0.521916690404796
6,0.99,0.521854157265437
7,0.99,0.521811355432996
4,1,0.522018973057366
5,1,0.52192214513776
6,1,0.521856039280472
7,1,0.521813520199316
